page_id,register,orig_path,filename,width,height,megapixels,bytes,sha12,readable,dup_group,mccatmus,transkribus,gemini,reconciled,translated
p360,06 - 01,raw/Archivio diocesano/06 - 01/IMG_20190318_113114.jpg,IMG_20190318_113114.jpg,3120,4160,13.0,1762745,f17096643505,ok,,,,,,
p361,06 - 01,raw/Archivio diocesano/06 - 01/IMG_20190318_113118.jpg,IMG_20190318_113118.jpg,3120,4160,13.0,2403907,0c87454e631a,ok,,,,,,
p362,06 - 01,raw/Archivio diocesano/06 - 01/IMG_20190318_113122.jpg,IMG_20190318_113122.jpg,3120,4160,13.0,2246742,9e737a432295,ok,,,,,,
p363,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113233.jpg,IMG_20190318_113233.jpg,3120,4160,13.0,1849581,f22167596dcc,ok,,,,,,
p364,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113245.jpg,IMG_20190318_113245.jpg,3120,4160,13.0,2547186,803bbb4e3bbe,ok,,,,,,
p365,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113253.jpg,IMG_20190318_113253.jpg,3120,4160,13.0,2695669,1dc06d94398a,ok,,,,,,
p366,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113259.jpg,IMG_20190318_113259.jpg,3120,4160,13.0,2371607,cfb025cd2c29,ok,,,,,,
p367,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113305.jpg,IMG_20190318_113305.jpg,3120,4160,13.0,2542610,df46ea631046,ok,,,,,,
p368,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113312.jpg,IMG_20190318_113312.jpg,3120,4160,13.0,2598739,be20586bb994,ok,,,,,,
p369,06 - 05,raw/Archivio diocesano/06 - 05/IMG_20190318_113313.jpg,IMG_20190318_113313.jpg,3120,4160,13.0,2400419,6e4ed3fe7842,ok,,,,,,
p370,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113325.jpg,IMG_20190318_113325.jpg,3120,4160,13.0,1988503,ae2050d9ea8a,ok,,,,,,
p371,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113330.jpg,IMG_20190318_113330.jpg,3120,4160,13.0,2339018,88a4596dd254,ok,,,,,,
p372,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113337.jpg,IMG_20190318_113337.jpg,4160,3120,13.0,2556647,0f9b4a5e46df,ok,,,,,,
p373,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113355.jpg,IMG_20190318_113355.jpg,4160,3120,13.0,2483218,c3c8b5ae991d,ok,,,,,,
p374,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113402.jpg,IMG_20190318_113402.jpg,4160,3120,13.0,2431061,06dc52bbc4dc,ok,,,,,,
p375,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113417.jpg,IMG_20190318_113417.jpg,4160,3120,13.0,2616579,13b49e7bb316,ok,,,,,,
p376,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113429.jpg,IMG_20190318_113429.jpg,4160,3120,13.0,2489434,3a736d26b3a2,ok,,,,,,
p377,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113440.jpg,IMG_20190318_113440.jpg,3120,4160,13.0,1976090,5cfe9bb0d686,ok,,,,,,
p378,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113444.jpg,IMG_20190318_113444.jpg,3120,4160,13.0,2254903,a33125354c43,ok,,,,,,
p379,06 - 06,raw/Archivio diocesano/06 - 06/IMG_20190318_113451.jpg,IMG_20190318_113451.jpg,3120,4160,13.0,2475479,5ef3ef5e932c,ok,,,,,,
p380,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113459.jpg,IMG_20190318_113459.jpg,3120,4160,13.0,1739286,71154a7db060,ok,,,,,,
p381,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113504.jpg,IMG_20190318_113504.jpg,3120,4160,13.0,2090543,0012e1fb82e3,ok,,,,,,
p382,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113516.jpg,IMG_20190318_113516.jpg,4160,3120,13.0,2389111,b5632d3a4e26,ok,,,,,,
p383,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113522.jpg,IMG_20190318_113522.jpg,4160,3120,13.0,2396750,e3ca8ec2e372,ok,,,,,,
p384,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113530.jpg,IMG_20190318_113530.jpg,4160,3120,13.0,2374127,547c778bda3a,ok,,,,,,
p385,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113544.jpg,IMG_20190318_113544.jpg,4160,3120,13.0,2187938,eb37d781992b,ok,,,,,,
p386,06 - 07,raw/Archivio diocesano/06 - 07/IMG_20190318_113550.jpg,IMG_20190318_113550.jpg,4160,3120,13.0,2218017,a0c0b7959371,ok,,,,,,
p387,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111200.jpg,IMG_20190226_111200.jpg,3120,4160,13.0,1652302,92f889ccb11b,ok,,,,,,
p388,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111205.jpg,IMG_20190226_111205.jpg,3120,4160,13.0,3145728,12e0e9b2ee11,ok,,,,,,
p389,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111222.jpg,IMG_20190226_111222.jpg,3120,4160,13.0,3211923,f2ce0e298791,ok,,,,,,
p390,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111225.jpg,IMG_20190226_111225.jpg,3120,4160,13.0,3087578,0dda832da24d,ok,,,,,,
p391,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111233.jpg,IMG_20190226_111233.jpg,3120,4160,13.0,3113903,9386cb689060,ok,,,,,,
p392,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111236.jpg,IMG_20190226_111236.jpg,3120,4160,13.0,2459157,606ba4000445,ok,,,,,,
p393,06 - 138,raw/Archivio diocesano/06 - 138/IMG_20190226_111241.jpg,IMG_20190226_111241.jpg,3120,4160,13.0,2108040,ad3b0fdf91c2,ok,,,,,,
